song_id,song_name,album-name,song_listeners,song_url
8,PIMP TALK,Blak Amerika Presents: Love Lasts Forever,46054,https://www.last.fm/pl/music/Destroy+Lonely/Blak+Amerika+Presents:+Love+Lasts+Forever/PIMP+TALK
9,CADILLAC,Blak Amerika Presents: Love Lasts Forever,58548,https://www.last.fm/pl/music/Destroy+Lonely/Blak+Amerika+Presents:+Love+Lasts+Forever/CADILLAC
10,SYRUP SIPPIN,Blak Amerika Presents: Love Lasts Forever,58295,https://www.last.fm/pl/music/Destroy+Lonely/Blak+Amerika+Presents:+Love+Lasts+Forever/SYRUP+SIPPIN
11,LOCK IN,Blak Amerika Presents: Love Lasts Forever,44557,https://www.last.fm/pl/music/Destroy+Lonely/Blak+Amerika+Presents:+Love+Lasts+Forever/LOCK+IN
12,DOUBT IT,Blak Amerika Presents: Love Lasts Forever,48955,https://www.last.fm/pl/music/Destroy+Lonely/Blak+Amerika+Presents:+Love+Lasts+Forever/DOUBT+IT
13,WISH YOU WELL,Blak Amerika Presents: Love Lasts Forever,37625,https://www.last.fm/pl/music/Destroy+Lonely/Blak+Amerika+Presents:+Love+Lasts+Forever/WISH+YOU+WELL
14,SHIP HER OFF,Blak Amerika Presents: Love Lasts Forever,38660,https://www.last.fm/pl/music/Destroy+Lonely/Blak+Amerika+Presents:+Love+Lasts+Forever/SHIP+HER+OFF
15,Honestly,Blak Amerika Presents: Love Lasts Forever,35342,https://www.last.fm/pl/music/Destroy+Lonely/Blak+Amerika+Presents:+Love+Lasts+Forever/Honestly
16,TAKE A TRIP,Blak Amerika Presents: Love Lasts Forever,32819,https://www.last.fm/pl/music/Destroy+Lonely/Blak+Amerika+Presents:+Love+Lasts+Forever/TAKE+A+TRIP
17,EXTRA HIGH,Blak Amerika Presents: Love Lasts Forever,31751,https://www.last.fm/pl/music/Destroy+Lonely/Blak+Amerika+Presents:+Love+Lasts+Forever/EXTRA+HIGH
18,THRILL,Blak Amerika Presents: Love Lasts Forever,1689,https://www.last.fm/pl/music/Destroy+Lonely+&+Ken+Carson/Blak+Amerika+Presents:+Love+Lasts+Forever/THRILL
1,Bag Full of Boof,Bag Full of Boof,18895,https://www.last.fm/pl/music/Destroyed+Lonely/Bag+Full+of+Boof/Bag+Full+of+Boof
1,Count It Up,Count It Up,15477,https://www.last.fm/pl/music/Destroyed+Lonely/Count+It+Up/Count+It+Up
1,FenderBender,FenderBender,10282,https://www.last.fm/pl/music/Destroy+Lonely/FenderBender/FenderBender
1,4Seasons,4seasons,19985,https://www.last.fm/pl/music/Destroy+Lonely/4seasons/4Seasons
1,Plea,Plea,11896,https://www.last.fm/pl/music/Destroy+Lonely/Plea/Plea
19,AMERIKA,Blak Amerika Presents: Love Lasts Forever,29376,https://www.last.fm/pl/music/Destroy+Lonely/Blak+Amerika+Presents:+Love+Lasts+Forever/AMERIKA
20,ABOUT MONEY (BONUS),Blak Amerika Presents: Love Lasts Forever,1444,https://www.last.fm/pl/music/Destroy+Lonely/Blak+Amerika+Presents:+Love+Lasts+Forever/ABOUT+MONEY+(BONUS)
21,NO WORRIES (BONUS),Blak Amerika Presents: Love Lasts Forever,1322,https://www.last.fm/pl/music/Destroy+Lonely/Blak+Amerika+Presents:+Love+Lasts+Forever/NO+WORRIES+(BONUS)
22,PASS ME THE KEYS (BONUS),Blak Amerika Presents: Love Lasts Forever,1101,https://www.last.fm/pl/music/Destroy+Lonely/Blak+Amerika+Presents:+Love+Lasts+Forever/PASS+ME+THE+KEYS+(BONUS)
23,PRETTIEST ONE,Blak Amerika Presents: Love Lasts Forever,25852,https://www.last.fm/pl/music/Destroy+Lonely/Blak+Amerika+Presents:+Love+Lasts+Forever/PRETTIEST+ONE
1,Out The Way,Out The Way,13038,https://www.last.fm/pl/music/Destroy+Lonely/Out+The+Way/Out+The+Way
1,$$$,$$$,12419,https://www.last.fm/pl/music/Destroy+Lonely/$$$/$$$
1,Forever,BLAKAMERIKA PRESENTS: LOVE LASTS FOREVER,60121,https://www.last.fm/pl/music/Destroy+Lonely/BLAKAMERIKA+PRESENTS:+LOVE+LASTS+FOREVER/Forever
2,Love Hurts,BLAKAMERIKA PRESENTS: LOVE LASTS FOREVER,1,https://www.last.fm/pl/music/Destroy+Lonely&Lil+Uzi+Vert/BLAKAMERIKA+PRESENTS:+LOVE+LASTS+FOREVER/Love+Hurts
3,Luv 4 Ya,BLAKAMERIKA PRESENTS: LOVE LASTS FOREVER,94568,https://www.last.fm/pl/music/Destroy+Lonely/BLAKAMERIKA+PRESENTS:+LOVE+LASTS+FOREVER/Luv+4+Ya
4,GET RIGHT,BLAKAMERIKA PRESENTS: LOVE LASTS FOREVER,14791,https://www.last.fm/pl/music/Destroy+Lonely/BLAKAMERIKA+PRESENTS:+LOVE+LASTS+FOREVER/GET+RIGHT
5,Crystal Clear,BLAKAMERIKA PRESENTS: LOVE LASTS FOREVER,49099,https://www.last.fm/pl/music/Destroy+Lonely/BLAKAMERIKA+PRESENTS:+LOVE+LASTS+FOREVER/Crystal+Clear
6,Baby Money,BLAKAMERIKA PRESENTS: LOVE LASTS FOREVER,47354,https://www.last.fm/pl/music/Destroy+Lonely/BLAKAMERIKA+PRESENTS:+LOVE+LASTS+FOREVER/Baby+Money
7,SAY THAT,BLAKAMERIKA PRESENTS: LOVE LASTS FOREVER,47029,https://www.last.fm/pl/music/Destroy+Lonely/BLAKAMERIKA+PRESENTS:+LOVE+LASTS+FOREVER/SAY+THAT
8,PIMP TALK,BLAKAMERIKA PRESENTS: LOVE LASTS FOREVER,46054,https://www.last.fm/pl/music/Destroy+Lonely/BLAKAMERIKA+PRESENTS:+LOVE+LASTS+FOREVER/PIMP+TALK
